,screen_name_binary_n,name_binary_n,description_binary_n,status_binary_n,verified_n,followers_count_n,friends_count_n,statuses_count_n,listed_count_binary_n
160,1,1,0,1,0,475,0,211,1
161,0,0,1,0,0,6,0,190,1
162,0,0,1,0,0,184,1,1380,1
163,1,1,1,1,0,436,585,1313,1
164,0,0,0,0,0,9,87,4,1
165,0,0,1,0,0,40,0,442,1
166,1,0,1,0,0,2,320,34,1
167,0,0,0,0,0,1,331,25,1
168,1,1,1,1,0,157,3,928,1
169,1,1,1,0,0,520,43,1218,1
170,0,0,0,0,0,34,22,1605,1
171,0,1,0,0,0,173,5,1094,1
172,1,1,1,1,0,153,1,1657,1
173,0,0,0,0,0,458,945,391,1
174,0,0,0,0,0,2,295,34,1
175,1,1,0,1,0,76,0,153,1
176,0,0,0,0,0,519,776,466,1
177,1,1,1,1,0,32,0,483,1
178,1,1,0,1,0,469,290,1824,1
179,1,1,1,1,0,219,0,364,1
180,0,0,1,0,0,7,515,157,1
181,1,1,1,0,0,391,1,1713,1
182,1,1,0,1,0,23,0,94,1
183,0,0,0,0,0,3,49,1,1
184,1,1,0,1,0,139,7,315,1
185,0,0,0,0,0,66,484,608,1
186,1,1,1,1,0,446,348,835,1
187,0,0,0,1,0,3,57,1,1
188,1,1,0,0,0,0,60,0,1
189,0,1,0,1,0,55,1,2040,1
190,0,0,0,1,0,64,32,946,1
191,1,1,0,0,0,102,2,1871,1
192,0,0,0,0,0,0,269,35,1
193,0,0,0,0,0,560,903,279,1
194,0,0,0,0,0,18,3,629,1
195,0,0,1,1,0,240,5,218,1
196,1,0,0,0,0,72,0,694,1
197,0,0,1,0,0,238,57,1805,1
198,0,0,0,0,0,0,317,39,1
199,1,1,1,0,0,230,0,1506,1
200,1,0,0,1,0,20,1,587,1
201,0,0,0,0,0,0,68,1,1
202,0,0,1,0,0,653,917,1358,1
203,1,1,1,0,0,437,0,1006,1
204,1,0,1,1,0,309,1,1843,1
205,0,0,0,0,0,1,241,33,1
206,0,1,0,0,0,25,619,20,1
207,0,0,0,0,0,2,95,0,1
208,1,1,1,0,0,533,767,1954,1
209,1,1,1,1,0,947,0,1730,1
210,0,0,0,0,0,12,853,307,1
211,0,0,0,0,0,68,1,273,1
212,0,0,1,0,0,12,0,133,1
213,1,0,1,1,0,812,0,1981,1
214,1,1,1,1,0,741,985,1958,1
215,0,0,0,0,0,25,831,254,1
216,0,0,0,0,0,3,438,101,1
217,0,0,0,1,0,3,6,17,1
218,0,1,1,1,0,405,0,1577,1
219,0,0,0,1,0,0,30,58,1
220,0,1,0,1,0,12,1,392,1
221,0,0,0,0,0,4,241,12,1
222,1,1,0,0,0,0,98,0,1
223,1,1,0,0,0,17,426,4,1
224,0,0,0,0,0,49,760,1,1
225,1,1,1,1,0,428,60,988,1
226,0,1,1,0,0,967,1082,1944,1
227,1,1,1,1,0,400,505,1186,1
228,0,0,0,0,0,0,34,68,1
229,0,0,1,1,0,116,1,481,1
230,1,1,1,1,0,191,3,1090,1
231,0,0,0,0,0,903,0,352,1
232,1,0,1,1,0,691,361,1932,1
233,0,0,0,0,0,173,2,1678,1
234,0,1,0,1,0,157,12,1489,1
235,1,1,1,1,0,18,0,590,1
236,1,1,1,1,0,35,1,961,1
237,0,0,0,0,0,5,540,158,1
238,0,0,0,0,0,645,8,1732,1
239,1,1,1,0,0,1,244,28,1
240,0,0,1,0,0,0,26,55,1
241,1,1,1,1,0,149,0,838,1
242,0,0,0,0,0,24,842,233,1
243,1,1,0,1,0,159,0,1628,1
244,0,0,1,1,0,62,0,139,1
245,1,1,0,1,0,107,306,1061,1
246,0,0,0,0,0,0,215,20,1
247,1,1,1,1,0,379,35,1366,1
248,1,1,1,1,0,266,1,858,1
249,0,0,0,1,0,117,322,785,1
250,0,0,0,0,0,194,2,1406,1
251,0,0,0,0,0,2,12,0,1
252,1,1,1,1,0,495,8,1630,1
253,0,0,1,0,0,99,0,71,1
254,0,0,0,0,0,134,0,1225,1
255,1,0,1,0,0,15,1,1021,1
256,1,1,0,0,0,4,47,1,1
257,0,0,1,0,0,142,1,1174,1
258,0,0,0,0,0,19,834,281,1
259,0,0,0,0,0,1,218,24,1
260,1,0,1,0,0,41,1,812,1
261,0,0,0,0,0,1,78,1,1
262,0,0,1,0,0,563,81,361,1
263,0,0,0,0,0,1,312,42,1
264,1,1,1,0,0,164,5,358,1
265,1,1,1,1,0,547,7,1682,1
266,0,0,0,0,0,0,22,1,1
267,0,0,0,1,0,3,0,485,1
268,1,1,1,1,0,376,13,1034,1
269,1,0,1,1,0,15,0,1765,1
270,0,0,1,0,0,16,1,631,1
271,0,0,0,0,0,41,353,4,1
272,0,0,1,1,0,401,336,991,1
273,0,0,0,0,0,0,60,10,1
274,0,0,0,1,0,0,43,82,1
275,0,0,0,0,0,102,3,1379,1
276,0,1,1,0,0,413,17,1050,1
277,0,0,0,0,0,1,34,93,1
278,0,0,0,1,0,596,12,1933,1
279,0,0,0,0,0,0,1,0,1
280,0,0,0,0,0,14,235,0,1
281,0,0,0,0,0,377,11,1831,1
282,0,0,1,1,0,279,0,282,1
283,1,1,1,1,0,383,5,1962,1
284,0,0,0,0,0,0,115,0,1
285,0,0,0,0,0,1,4,4,1
286,0,0,0,0,0,50,2,523,1
287,0,0,1,0,0,3,308,39,1
288,1,1,1,1,0,328,0,1244,1
289,1,0,0,0,0,345,365,1556,1
290,0,1,1,1,0,425,4,1509,1
291,0,0,0,0,0,511,20,856,1
292,0,0,1,0,0,44,5,722,1
293,0,0,0,0,0,20,0,49,1
294,1,1,1,1,0,805,57,2028,1
295,0,0,1,0,0,26,0,1181,1
296,0,0,1,0,0,876,27,1492,1
297,0,0,0,0,0,863,1023,1107,1
298,1,1,0,0,0,2,348,41,1
299,0,0,0,0,0,360,637,1101,1
300,0,0,1,1,0,94,1,718,1
301,0,0,1,0,0,823,1,1121,1
302,0,0,0,0,0,0,307,32,1
303,1,1,0,1,0,4,0,567,1
304,0,0,1,0,0,37,35,9,1
305,1,1,0,0,0,0,229,24,1
306,0,0,0,0,0,14,200,3,1
307,0,0,1,1,0,394,1,214,1
308,0,0,0,0,0,263,66,1115,1
309,0,0,0,1,0,0,27,58,1
310,0,0,0,0,0,80,0,1375,1
311,1,1,1,1,0,120,597,8,1
312,1,1,1,1,0,271,315,1270,1
313,0,1,1,0,0,229,4,1924,1
314,1,1,1,1,0,18,3,564,1
315,0,1,1,1,0,79,78,447,1
316,0,0,0,0,0,412,31,715,1
317,0,0,0,1,0,2,42,39,1
318,0,0,0,0,0,0,319,73,1
319,0,0,1,0,0,21,0,543,1
320,0,0,1,0,0,16,1,658,1
321,0,0,1,1,0,226,0,1654,1
322,0,0,0,0,0,874,2,1277,1
323,0,0,0,0,0,0,209,24,1
324,0,0,0,0,0,8,84,3,1
325,0,0,0,0,0,504,895,326,1
326,0,0,0,0,0,1,321,33,1
327,1,1,1,0,0,589,1,1775,1
328,0,0,1,0,0,39,0,226,1
329,0,0,0,0,0,487,885,1562,1
330,0,0,0,0,0,2,327,58,1
331,1,0,0,1,0,488,672,1990,1
332,0,0,0,0,0,227,45,657,1
333,1,0,1,1,0,753,0,957,1
334,1,0,0,0,0,77,418,15,1
335,0,0,1,0,0,0,308,23,1
336,1,1,1,1,0,169,5,864,1
337,1,1,1,1,0,206,0,489,1
338,0,0,0,0,0,321,12,1660,1
339,1,0,1,0,0,295,0,1567,1
340,0,0,0,0,0,102,84,1,1
341,0,1,1,0,0,52,0,1960,1
342,1,1,1,1,0,800,6,1158,1
343,0,0,0,0,0,10,15,3,1
344,0,0,1,1,0,66,1,67,1
345,1,0,0,1,0,779,0,1921,1
346,1,1,1,1,0,933,212,1876,1
347,0,0,1,1,0,20,0,1836,1
348,1,1,1,0,0,480,31,427,1
349,1,1,1,1,0,161,0,763,1
350,1,1,0,1,0,17,1,574,1
351,1,0,1,0,0,9,0,6,1
352,0,0,0,0,0,872,0,1479,1
353,0,0,0,0,0,0,84,0,1
354,0,0,0,0,0,6,107,2,1
355,1,0,1,0,0,635,43,266,1
356,0,0,0,1,0,79,0,922,1
357,0,0,0,0,0,96,29,162,1
358,0,0,0,1,0,418,588,626,1
359,0,0,1,0,0,52,2,394,1
360,1,1,1,1,0,181,0,501,1
361,0,1,1,0,0,514,850,1478,1
362,1,1,1,1,0,67,0,443,1
363,0,0,0,0,0,1,29,69,1
364,1,1,0,0,0,297,403,203,1
365,0,0,0,0,0,708,3,398,1
366,0,0,0,1,0,10,0,1360,1
367,0,0,0,0,0,47,186,1,1
368,0,0,0,0,0,54,735,6,1
369,0,0,0,0,0,0,9,0,1
370,1,0,1,1,0,202,16,1638,1
371,1,1,1,0,0,295,3,1018,1
372,0,0,0,1,0,1,335,36,1
373,1,1,1,0,0,62,0,931,1
374,1,1,1,1,0,152,0,1502,1
375,1,1,1,1,0,125,1,828,1
376,0,0,1,1,0,372,53,751,1
377,0,0,0,0,0,2,1,546,1
378,0,0,0,0,0,70,5,951,1
379,1,1,0,0,0,278,4,1978,1
380,1,1,0,1,0,517,0,289,1
381,0,0,0,0,0,397,959,0,1
382,0,0,1,0,0,37,0,0,1
383,0,0,1,1,0,13,157,5,1
384,0,0,1,0,0,107,30,1391,1
385,0,0,0,0,0,1010,1080,2006,1
386,0,0,0,0,0,253,37,1352,1
387,0,0,0,0,0,8,45,5,1
388,0,0,0,0,0,720,882,1893,1
389,1,0,1,0,0,255,1,651,1
390,1,1,0,1,0,576,801,1585,1
391,1,1,1,0,0,626,0,1522,1
392,0,0,0,0,0,0,21,1,1
393,0,0,1,1,0,71,0,570,1
394,0,0,0,0,0,2,427,118,1
395,0,0,0,0,0,772,870,521,1
396,0,0,0,0,0,307,1,1744,1
397,0,0,0,0,0,0,39,0,1
398,1,1,0,1,0,354,409,1138,1
399,1,1,0,0,0,1,312,36,1
400,0,0,0,0,0,0,225,18,1
401,0,1,1,0,0,128,804,18,1
402,0,0,0,0,0,3,39,3,1
403,1,1,1,0,0,148,749,5,1
404,0,0,1,1,0,137,0,1952,1
405,1,0,1,1,0,666,3,1865,1
406,0,0,0,0,0,150,0,668,1
407,0,0,0,0,0,0,27,115,1
408,0,1,0,1,0,41,1,387,1
409,1,1,1,1,0,356,65,1289,1
410,0,1,1,0,0,613,997,105,1
411,0,0,0,0,0,845,1,1727,1
412,1,1,1,0,0,50,0,456,1
413,0,0,1,0,0,74,7,1945,1
414,0,0,1,1,0,666,1,1084,1
415,0,0,1,0,0,0,248,35,1
416,0,0,1,0,0,1371,1,1632,1
417,0,0,0,0,0,329,0,879,1
418,1,1,1,0,0,163,25,883,1
419,1,0,1,1,0,789,0,1772,1
420,0,0,0,0,0,8,1,201,1
421,0,0,0,0,0,848,1,110,1
422,0,0,1,0,0,145,0,614,1
423,0,0,0,0,1,1526,222,1117,1
424,0,0,0,0,0,9,413,103,1
425,1,1,1,1,0,47,1,753,1
426,0,0,0,0,0,3,38,5,1
427,0,0,1,0,0,13,5,1370,1
428,0,0,1,0,0,1386,0,2029,1
429,0,0,1,0,0,668,1,895,1
430,0,0,0,0,0,1,243,21,1
431,0,0,0,0,0,430,703,1720,1
432,0,0,1,1,0,949,0,1586,1
433,0,0,1,1,0,16,1,525,1
434,0,0,0,0,0,14,835,284,1
435,0,0,0,0,0,4,100,0,1
436,1,1,0,1,0,259,48,1002,1
437,1,1,1,0,0,144,0,551,1
438,1,1,1,1,0,20,0,1039,1
439,0,0,0,0,0,510,0,1959,1
440,0,0,0,0,0,12,64,7,1
441,1,1,1,1,0,584,0,535,1
442,0,0,0,0,0,777,275,1832,1
443,0,0,0,0,0,27,879,237,1
444,0,0,0,0,0,0,30,0,1
445,0,1,0,0,0,0,18,0,1
446,0,0,0,1,0,0,44,100,1
447,0,0,1,0,0,2,51,113,1
448,1,0,1,1,0,206,199,1116,1
449,0,1,1,1,0,186,332,36,1
450,0,1,0,0,0,163,1,1558,1
451,1,1,1,1,0,136,1,1795,1
452,1,1,1,1,0,100,1,1162,1
453,0,0,0,0,0,98,255,37,1
454,1,1,1,1,0,90,1,1172,1
455,0,0,1,0,0,7,0,1092,1
456,1,1,1,1,0,270,1,650,1
457,0,0,0,1,0,751,3,2003,1
458,0,0,0,0,0,60,0,569,1
459,0,0,0,0,0,1,73,1,1
460,1,1,0,1,0,760,2,1716,1
461,1,1,1,1,0,74,0,963,1
462,0,0,0,0,0,3,252,22,1
463,0,0,1,0,0,3,496,149,1
464,0,0,0,0,0,9,91,8,1
465,0,0,0,0,0,247,13,298,1
466,0,0,1,1,0,8,0,326,1
467,0,1,1,1,0,30,463,22,1
468,0,0,1,1,0,795,114,1046,1
469,0,0,0,0,0,1,422,92,1
470,1,1,1,1,0,254,2,1513,1
471,0,0,0,0,0,622,26,1606,1
472,0,0,0,0,0,445,4,1854,1
473,0,0,0,0,0,431,0,1939,1
474,0,0,1,1,0,649,4,1541,1
475,0,0,0,0,0,2,289,31,1
476,0,0,0,0,0,723,914,1589,1
477,0,0,0,1,0,0,10,75,1
478,0,0,0,0,0,2,328,39,1
479,1,1,1,0,0,33,13,503,1
480,1,0,0,0,0,7,30,2,1
481,0,0,0,1,0,409,0,1032,1
482,0,0,0,0,0,525,1004,102,1
483,1,1,1,1,0,712,101,2018,1
484,0,0,0,0,0,202,469,118,1
485,0,0,1,1,0,937,0,2035,1
486,0,0,0,0,0,17,828,255,1
487,0,0,0,0,0,99,462,45,1
488,0,0,1,0,0,34,1,1833,1
489,0,0,0,0,0,0,37,0,1
490,0,0,1,1,0,368,14,101,1
491,1,1,0,0,0,69,755,1,1
492,0,0,1,1,0,6,0,490,1
493,1,1,1,1,0,1029,1,1969,1
494,0,0,0,1,0,452,495,1815,1
495,1,1,0,0,0,150,0,1996,1
496,1,1,1,0,0,119,0,623,1
497,0,1,1,1,0,9,1,802,1
498,1,1,1,1,0,41,8,2,1
499,1,0,0,1,0,206,0,1094,1
500,0,1,0,0,0,358,14,769,1
501,0,0,0,0,0,17,201,1,1
502,0,0,0,0,0,90,22,1745,1
503,0,0,0,0,0,93,93,1679,1
504,0,0,0,0,0,20,817,271,1
505,0,1,1,1,0,150,2,267,1
506,1,1,1,1,0,119,1,1598,1
507,0,0,0,0,0,27,829,247,1
508,0,0,0,0,0,0,25,0,1
509,1,1,1,1,0,12,0,197,1
510,0,0,0,0,0,521,862,107,1
511,1,0,1,1,0,411,0,942,1
512,0,0,0,0,0,1,69,11,1
513,0,0,0,0,0,0,67,0,1
514,0,0,0,1,0,606,969,323,1
515,0,0,0,0,0,55,2,413,1
516,0,0,0,0,0,1023,283,1911,1
517,1,1,0,1,0,664,4,1862,1
518,0,0,0,0,0,681,1002,1078,1
519,1,1,1,1,0,991,65,1535,1
520,1,1,1,0,0,42,0,462,1
521,1,1,1,0,0,110,109,880,1
522,0,0,1,1,0,757,7,1935,1
523,0,0,1,0,0,0,246,20,1
524,1,1,1,1,0,298,0,2005,1
525,1,1,1,0,0,652,3,1965,1
526,0,1,0,0,0,369,7,799,1
527,0,0,1,0,0,39,0,171,1
528,0,0,1,0,0,187,509,355,1
529,0,0,1,0,0,404,3,292,1
530,1,1,1,0,0,625,1,592,1
531,1,1,0,1,0,196,8,801,1
532,1,0,0,0,0,522,1,1760,1
533,0,0,0,1,0,518,920,962,1
534,0,0,0,0,0,3,314,41,1
535,0,0,0,0,0,0,143,17,1
536,0,1,1,0,0,318,992,2,1
537,0,0,0,1,0,840,0,1974,1
538,1,1,1,1,0,884,1063,1710,1
539,1,1,1,1,0,605,133,1757,1
540,1,0,1,1,0,29,1,99,1
541,0,0,1,0,0,238,0,1823,1
542,0,0,0,0,0,554,19,505,1
543,1,1,1,1,0,830,86,836,1
544,0,0,0,0,0,1,260,16,1
545,0,0,1,0,0,513,1,1482,1
546,0,1,0,0,0,79,0,1825,1
547,1,1,1,1,0,276,1,796,1
548,0,0,0,0,1,887,151,87,1
549,0,0,0,0,0,75,0,1146,1
550,0,1,1,0,0,155,892,1,1
551,0,0,1,0,0,7,1,1108,1
552,0,0,0,1,0,1,349,44,1
553,0,0,1,0,0,101,1,534,1
554,0,0,0,0,0,133,253,18,1
555,1,0,1,0,0,259,0,400,1
556,0,0,1,1,0,273,1,908,1
557,1,1,0,1,0,730,7,1901,1
558,0,0,0,1,0,4,0,115,1
559,0,0,0,0,0,1,41,1,1
560,1,1,1,1,0,177,4,1055,1
561,0,0,1,1,0,259,0,1145,1
562,1,1,1,0,0,36,1,887,1
563,0,0,1,0,0,426,0,779,1
564,0,0,0,0,0,1,30,100,1
565,0,0,1,0,0,317,5,1928,1
566,0,0,0,1,0,17,463,4,1
567,0,0,0,0,0,20,267,1,1
568,0,0,1,0,0,341,15,1859,1
569,1,1,1,1,0,393,0,1205,1
570,0,0,0,1,0,685,5,918,1
571,1,1,1,1,0,196,1,606,1
572,0,0,1,0,0,98,24,844,1
573,1,1,1,1,0,447,0,1659,1
574,0,0,0,0,0,165,2,1428,1
575,0,0,1,0,0,144,0,91,1
576,0,0,0,0,0,747,1,872,1
577,0,0,0,1,0,75,4,624,1
578,0,0,1,0,0,8,518,149,1
579,0,0,0,0,0,224,1,1726,1
580,0,0,0,0,0,0,60,0,1
581,0,0,0,0,0,8,89,18,1
582,0,0,0,0,0,450,736,1963,1
583,1,1,1,1,0,129,4,509,1
584,0,1,0,0,0,270,876,0,1
585,0,0,0,0,0,0,399,89,1
586,0,0,0,0,0,4,386,76,1
587,0,0,0,0,0,1,240,14,1
588,1,1,1,1,0,99,0,604,1
589,0,0,1,1,0,66,2,287,1
590,0,0,0,1,0,466,0,1636,1
591,1,1,1,1,0,15,3,434,1
592,0,0,1,0,0,652,92,1635,1
593,1,0,0,1,0,803,3,1971,1
594,0,0,0,0,0,1,155,0,1
595,0,0,0,0,0,8,0,41,1
596,0,0,0,0,0,52,208,1,1
597,0,0,1,0,0,343,775,998,1
598,1,1,0,1,0,342,143,22,1
599,1,0,1,0,0,603,3,1779,1
600,0,0,1,0,0,237,2,1526,1
601,0,0,1,0,0,160,194,318,1
602,0,0,0,0,0,3,30,1,1
603,1,1,1,0,0,65,0,1351,1
604,1,0,1,0,0,827,932,1943,1
605,0,0,0,0,0,621,796,1919,1
606,1,1,1,1,0,116,0,1260,1
607,0,0,0,0,0,24,539,22,1
608,0,0,0,0,0,226,315,1299,1
609,0,0,1,0,0,849,1,1752,1
610,0,0,0,0,0,29,95,3,1
611,0,0,0,0,0,0,20,0,1
612,0,0,0,0,0,318,682,45,1
613,1,1,1,1,0,6,0,768,1
614,1,1,1,0,0,941,41,432,1
615,1,0,0,1,0,198,0,1680,1
616,0,1,0,1,0,907,13,1013,1
617,0,0,1,1,0,16,3,110,1
618,0,0,0,0,1,1285,1072,1869,1
619,0,0,0,1,0,36,0,269,1
620,0,0,0,0,0,327,0,540,1
621,1,1,1,1,0,793,347,1107,1
622,1,0,0,0,0,22,864,265,1
623,0,0,0,0,0,3,214,25,1
624,0,0,0,0,0,2,321,44,1
625,0,0,1,0,0,51,0,1464,1
626,0,0,0,0,0,61,3,1118,1
627,0,0,1,0,0,724,6,732,1
628,0,0,0,0,0,2,244,19,1
629,0,0,0,0,0,11,189,5,1
630,0,0,0,0,0,562,907,384,1
631,0,0,0,0,0,1,393,111,1
632,1,1,0,1,0,57,1,1942,1
633,1,1,0,0,0,559,1,135,1
634,0,0,0,0,0,0,310,35,1
635,0,0,0,0,0,0,96,2,1
636,0,0,1,1,0,131,1,594,1
637,0,0,1,0,0,233,0,1573,1
638,0,0,1,0,0,85,13,108,1
639,1,1,1,0,0,263,29,1012,1
640,0,0,0,0,0,782,958,335,1
641,0,0,1,0,0,173,16,1027,1
642,0,0,1,1,0,66,1,803,1
643,1,1,1,1,0,36,0,280,1
644,0,0,1,1,0,427,43,595,1
645,0,0,0,0,0,7,156,1,1
646,0,1,1,0,0,55,732,0,1
647,0,0,0,0,0,5,431,107,1
648,0,1,1,1,0,802,633,1534,1
649,1,1,0,1,0,778,7,685,1
650,0,0,0,0,0,2,320,21,1
651,1,1,1,1,0,393,2,486,1
652,0,0,0,0,0,8,547,160,1
653,1,1,0,1,0,98,8,849,1
654,0,0,0,0,0,29,0,784,1
655,0,0,0,0,0,2,14,1,1
656,0,0,1,0,0,357,93,1980,1
657,1,1,1,0,0,419,0,1688,1
658,0,0,1,0,0,507,690,1672,1
659,0,0,1,1,0,223,0,1325,1
660,0,0,0,0,0,85,983,4,1
661,1,1,0,0,0,928,129,2041,1
662,1,1,1,1,0,260,0,441,1
663,1,0,1,1,0,60,11,1014,1
664,1,0,1,1,0,10,1,422,1
665,0,1,0,0,0,171,6,609,1
666,0,0,0,0,0,66,802,30,1
667,1,1,1,1,0,145,0,1417,1
668,0,0,0,0,0,1420,1116,1922,1
669,0,0,0,1,0,290,631,13,1
670,0,0,0,0,0,2,322,30,1
671,0,0,0,0,0,15,129,3,1
672,0,0,0,0,0,351,1005,79,1
673,1,1,1,0,0,315,1,2021,1
674,0,0,0,1,0,856,30,1100,1
675,0,0,1,0,0,963,3,383,1
676,0,0,0,0,0,0,30,0,1
677,0,0,1,0,0,697,934,1580,1
678,1,0,0,1,0,512,0,366,1
